"net_load","tempc","Time","DST","year","WtdTemp"
1459,10.3,0.0208333333333333,0.979166666666667,0.227454337899543,15.7077049446869
1431,9.6,0.0416666666666667,0,0.227511415525114,16.36
1342,9.4,0.0625,0.0208333333333333,0.227568493150685,16.6001936120056
1288,9.2,0.0833333333333333,0.0416666666666667,0.227625570776256,16.8399471604314
1247,9.1,0.104166666666667,0.0625,0.227682648401826,17.0933573309871
1239,9,0.125,0.0833333333333333,0.227739726027397,17.3167261889578
1210,8.55,0.145833333333333,0.104166666666667,0.227796803652968,17.4205490591296
1196,8.1,0.166666666666667,0.125,0.227853881278539,17.4841249655326
1174,8.2,0.1875,0.145833333333333,0.22791095890411,17.6059899463137
1191,8.3,0.208333333333333,0.166666666666667,0.22796803652968,17.66
1198,8.45,0.229166666666667,0.1875,0.228025114155251,17.5486756908023
1233,8.6,0.25,0.208333333333333,0.228082191780822,17.1756984339686
1244,9.05,0.270833333333333,0.229166666666667,0.228139269406393,16.6815621281506
1319,9.5,0.291666666666667,0.25,0.228196347031963,16.0861696102342
1407,12.45,0.3125,0.270833333333333,0.228253424657534,16.6025
1463,15.4,0.333333333333333,0.291666666666667,0.228310502283105,17.5746304564688
1441,15.7,0.354166666666667,0.3125,0.228367579908676,17.4331308537856
1302,16,0.375,0.333333333333333,0.228424657534247,17.3909830056251
1158,17.3,0.395833333333333,0.354166666666667,0.228481735159817,18.1430368515008
1078,18.6,0.416666666666667,0.375,0.228538812785388,19.02
959,17.7,0.4375,0.395833333333333,0.228595890410959,18.4236827201635
848,16.8,0.458333333333333,0.416666666666667,0.22865296803653,17.92
778,17.4,0.479166666666667,0.4375,0.2287100456621,18.4019238815543
774,18,0.5,0.458333333333333,0.228767123287671,18.8
790,17.95,0.520833333333333,0.479166666666667,0.228824200913242,18.77
781,17.9,0.541666666666667,0.5,0.228881278538813,18.74
744,18.05,0.5625,0.520833333333333,0.228938356164384,18.83
797,18.2,0.583333333333333,0.541666666666667,0.228995433789954,18.92
818,18.1,0.604166666666667,0.5625,0.229052511415525,18.86
817,18,0.625,0.583333333333333,0.229109589041096,18.8
875,18.1,0.645833333333333,0.604166666666667,0.229166666666667,18.86
942,18.2,0.666666666666667,0.625,0.229223744292237,18.92
1071,17.3,0.6875,0.645833333333333,0.229280821917808,18.38
1194,16.4,0.708333333333333,0.666666666666667,0.229337899543379,17.84
1348,16.1,0.729166666666667,0.6875,0.22939497716895,17.66
1499,15.8,0.75,0.708333333333333,0.229452054794521,17.2339696961967
1621,15.5,0.770833333333333,0.729166666666667,0.229509132420091,16.4
1669,15.2,0.791666666666667,0.75,0.229566210045662,15.4811774900609
1669,14.1,0.8125,0.770833333333333,0.229623287671233,14.1
1635,13,0.833333333333333,0.791666666666667,0.229680365296804,13.0463124394418
1602,12.5,0.854166666666667,0.8125,0.229737442922374,12.6974717536293
